公司名称,经验,教育,职位,诱惑,工资,公司经验范围,公司规模,公司要求,职位要求,地址,技能,详细网址
上海海知智能科技有限公司,5-10年,本科,高级爬虫开发工程师,"人工智能,弹性工作,创新前沿,技术大牛",20k-40k,"移动互联网,数据服务",50-150人,"['晋升空间大', '硅谷管理风格', '创新前沿', '尊重个性']","['Python', '数据挖掘']",浦东新区,"['Python', '数据挖掘']",https://www.lagou.com/jobs/3973031.html
上海彩亿信息技术有限公司,3-5年,本科,高级爬虫工程师,"金融科技,亿级平台,极客团队,无限发挥",15k-30k,"移动互联网,金融",500-2000人,"['股票期权', '年底双薪', '五险一金', '带薪年假']","['互联网金融', '征信', '数据分析', 'MySQL', 'Oracle', 'Java']",徐汇区,"['数据分析', 'MySQL', 'Oracle', 'Java']",https://www.lagou.com/jobs/4893661.html
上海泛微网络科技股份有限公司,3-5年,本科,爬虫开发工程师,"奖金绩效,免费三餐,团队旅游",20k-25k,"移动互联网,企业服务",2000人以上,"['技能培训', '带薪年假', '绩效奖金', '岗位晋升']","['爬虫工程师', '数据挖掘', '抓取']",闵行区,"['爬虫工程师', '数据挖掘', '抓取']",https://www.lagou.com/jobs/5007474.html
上海数禾信息科技有限公司,3-5年,本科,爬虫工程师,"移动金融,未来金矿,精英团队,助力成长",15k-30k,"移动互联网,金融",150-500人,"['股票期权', '通讯津贴', '交通补助', '午餐补助']","['移动互联网', 'MySQL']",浦东新区,['MySQL'],https://www.lagou.com/jobs/4932544.html
百融金融信息服务股份有限公司,5-10年,本科,资深爬虫开发工程师,"六险一金,弹性工作,福利多多",20k-40k,"金融,数据服务",500-2000人,"['技能培训', '股票期权', '带薪年假', '定期体检']",['大数据'],浦东新区,[],https://www.lagou.com/jobs/3922864.html
上海维外科技有限公司,3-5年,不限,爬虫工程师,薪资待遇高 办公氛围轻松 小伙伴很活跃,10k-20k,移动互联网,15-50人,"['""""']","['后端', 'Java']",黄浦区,"['后端', 'Java']",https://www.lagou.com/jobs/5183828.html
深圳平安综合金融服务有限公司,5-10年,本科,爬虫开发工程师,"福利好,平台大,奖金多,技术牛人多",25k-50k,"金融,数据服务",2000人以上,[],"['社交', 'Java', '架构师']",浦东新区,"['Java', '架构师']",https://www.lagou.com/jobs/4524501.html
上海邻我信息技术有限公司,不限,大专,爬虫开发工程师,"关注成长,自由宽松",4k-8k,社交网络,15-50人,"['绩效奖金', '注重成长']","['后端', '抓取', '爬虫工程师']",徐汇区,"['后端', '抓取', '爬虫工程师']",https://www.lagou.com/jobs/5059236.html
上海树融数据科技有限公司,3-5年,本科,高级网络爬虫工程师,"扁平化管理,学习氛围,伙伴文化",15k-30k,"企业服务,数据服务",15-50人,"['股票期权', '弹性工作', '扁平管理', '技能培训']","['大数据', '算法']",杨浦区,['算法'],https://www.lagou.com/jobs/5118154.html
携程计算机技术（上海）有限公司,1-3年,本科,高级爬虫工程师（酒店研发部）,大平台,15k-25k,"移动互联网,旅游",2000人以上,"['绩效奖金', '股票期权', '五险一金', '交通补助']",[],长宁区,[],https://www.lagou.com/jobs/4954064.html
瑞银企业管理（中国）有限公司,不限,本科,网络爬虫工程师,python 爬虫 html,11k-18k,金融,2000人以上,[],"['大数据', '互联网金融', 'MySQL', 'Java', '数据分析', '数据处理']",浦东新区,"['MySQL', 'Java', '数据分析', '数据处理']",https://www.lagou.com/jobs/5416308.html
上海朋数信息科技有限公司,1-3年,大专,java爬虫工程师,"五险一金,带薪年假,年终奖金,节日福利",9k-15k,移动互联网,150-500人,"['年底双薪', '绩效奖金', '五险一金', '弹性工作']","['大数据', '移动互联网', 'MySQL', 'Oracle', '数据挖掘']",虹口区,"['MySQL', 'Oracle', '数据挖掘']",https://www.lagou.com/jobs/5422053.html
上海慧宏友科信息科技有限公司,1-3年,本科,Python 爬虫工程师,地铁近、扁平化管理、环境好,10k-14k,"移动互联网,企业服务",15-50人,"['年底双薪', '带薪年假', '岗位晋升', '扁平管理']","['大数据', '移动互联网']",浦东新区,[],https://www.lagou.com/jobs/5423410.html
上海锐赢信息技术有限公司,3-5年,本科,Java爬虫开发工程师,"集团公司,交通便利,环境优美,稳定",10k-20k,"企业服务,招聘",150-500人,[],['抓取'],浦东新区,['抓取'],https://www.lagou.com/jobs/5203087.html
上海烨睿信息科技有限公司,1-3年,本科,爬虫高级工程师（机器学习）,"硅谷大牛,股权激励,五险一金,极客氛围",20k-40k,"移动互联网,金融",50-150人,"['股票期权', '带薪年假', '五险一金', '年终分红']","['NLP', '数据挖掘', '数据仓库', '数据分析']",长宁区,"['NLP', '数据挖掘', '数据仓库', '数据分析']",https://www.lagou.com/jobs/4060791.html
