公司名称,经验,教育,职位,诱惑,工资,公司经验范围,公司规模,公司要求,职位要求,地址,技能,详细网址
证通股份有限公司,3-5年,本科,高级爬虫工程师,工作环境好,25k-50k,"移动互联网,金融",150-500人,"['节日礼物', '带薪年假', '绩效奖金', '岗位晋升']","['征信', '软件开发', 'Java']",浦东新区,"['软件开发', 'Java']",https://www.lagou.com/jobs/4617173.html
上海海知智能科技有限公司,3-5年,本科,爬虫开发工程师,"技术大牛,福利多多,人工智能",15k-30k,"移动互联网,数据服务",50-150人,"['晋升空间大', '硅谷管理风格', '创新前沿', '尊重个性']","['DB2', 'DBA']",浦东新区,"['DB2', 'DBA']",https://www.lagou.com/jobs/2725373.html
上海彩亿信息技术有限公司,3-5年,本科,爬虫工程师,"亿级平台,准上市,行业前三,不加班",15k-30k,"移动互联网,金融",500-2000人,"['股票期权', '年底双薪', '五险一金', '带薪年假']",['Java'],徐汇区,['Java'],https://www.lagou.com/jobs/4913056.html
上海数禾信息科技有限公司,应届毕业生,本科,爬虫工程师,"导师培养,成长提升快",10k-12k,"移动互联网,金融",150-500人,"['股票期权', '通讯津贴', '交通补助', '午餐补助']",['互联网金融'],浦东新区,[],https://www.lagou.com/jobs/5229513.html
上海泛微网络科技股份有限公司,1-3年,本科,爬虫工程师,上市公司 免费三餐 免费班车,15k-20k,"移动互联网,企业服务",2000人以上,"['技能培训', '带薪年假', '绩效奖金', '岗位晋升']","['数据挖掘', 'Redis', 'MySQL']",闵行区,"['数据挖掘', 'Redis', 'MySQL']",https://www.lagou.com/jobs/5262260.html
百融金融信息服务股份有限公司,3-5年,本科,爬虫开发工程师,"六险一金,弹性工作,福利补贴",10k-20k,"金融,数据服务",500-2000人,"['技能培训', '股票期权', '带薪年假', '定期体检']",['Javascript'],浦东新区,['Javascript'],https://www.lagou.com/jobs/3922870.html
携程计算机技术（上海）有限公司,3-5年,本科,爬虫开发工程师,"爬虫,java,反爬虫,SQL",15k-25k,"移动互联网,旅游",2000人以上,"['绩效奖金', '股票期权', '五险一金', '交通补助']","['Java', 'Python', '数据挖掘']",长宁区,"['Java', 'Python', '数据挖掘']",https://www.lagou.com/jobs/4386907.html
车音智能科技有限公司北京分公司,3-5年,本科,高级爬虫工程师,"通讯补贴,节日福利,年度体检",15k-25k,"移动互联网,其他",150-500人,"['绩效奖金', '定期体检', '带薪年假']","['爬虫架构', '网络爬虫']",长宁区,"['爬虫架构', '网络爬虫']",https://www.lagou.com/jobs/5384872.html
拉扎斯网络科技（上海）有限公司,1-3年,本科,爬虫工程师,数据领域大神等你一起来玩耍～,15k-30k,移动互联网,2000人以上,"['节日礼物', '绩效奖金', '年度旅游', '岗位晋升']","['Java', 'Python']",普陀区,"['Java', 'Python']",https://www.lagou.com/jobs/3462720.html
上海维外科技有限公司,3-5年,不限,爬虫工程师,薪资待遇高 办公氛围轻松 小伙伴很活跃,10k-20k,移动互联网,15-50人,"['""""']","['移动互联网', 'Java']",黄浦区,['Java'],https://www.lagou.com/jobs/5183020.html
上海欧拉网络技术有限公司,5-10年,本科,爬虫工程师,"奇虎360,海外业务,专业大咖,激情团队",20k-40k,移动互联网,50-150人,"['节日礼物', '带薪年假', '绩效奖金', '扁平管理']",['Java'],浦东新区,['Java'],https://www.lagou.com/jobs/4749290.html
上海景域文化传播股份有限公司,5-10年,本科,(资深)爬虫工程师,扁平化管理,20k-40k,"电子商务,旅游",2000人以上,"['绩效奖金', '专项奖金', '五险一金', '通讯津贴']",['旅游'],普陀区,[],https://www.lagou.com/jobs/5070350.html
上海穰川信息技术有限公司,应届毕业生,本科,爬虫工程师,"机器学习,北清复交,高绩效,实习转正",5k-7k,"企业服务,数据服务",15-50人,"['绩效奖金', '定期体检', '带薪年假', '弹性工作']",['Python'],浦东新区,['Python'],https://www.lagou.com/jobs/4547585.html
上海烨睿信息科技有限公司,1-3年,本科,爬虫工程师,"股权激励,股权激励,绩效奖金,弹性工作",12k-20k,"移动互联网,金融",50-150人,"['股票期权', '带薪年假', '五险一金', '年终分红']",['数据处理'],长宁区,['数据处理'],https://www.lagou.com/jobs/5043917.html
上海炫体信息科技有限公司,3-5年,大专,数据采集/网络爬虫工程师,轻松办公环境、无限零食、桌球、乒乓球,12k-20k,"移动互联网,社交网络",50-150人,"['节日礼物', '年底双薪', '专项奖金', '带薪年假']",['数据挖掘'],虹口区,['数据挖掘'],https://www.lagou.com/jobs/2004460.html
