公司名称,经验,教育,职位,诱惑,工资,公司经验范围,公司规模,公司要求,职位要求,地址,技能,详细网址
上海海知智能科技有限公司,应届毕业生,本科,爬虫开发实习生,人工智能,3k-6k,"移动互联网,数据服务",50-150人,"['晋升空间大', '硅谷管理风格', '创新前沿', '尊重个性']",['Python'],浦东新区,['Python'],https://www.lagou.com/jobs/3827697.html
上海泛微网络科技股份有限公司,3-5年,本科,爬虫工程师,"半年调薪,福利待遇佳,免费三餐,平台大",15k-25k,"移动互联网,企业服务",2000人以上,"['技能培训', '带薪年假', '绩效奖金', '岗位晋升']","['大数据', 'Java', '搜索', '数据挖掘', '数据分析']",闵行区,"['Java', '搜索', '数据挖掘', '数据分析']",https://www.lagou.com/jobs/4345381.html
上海数禾信息科技有限公司,1-3年,本科,爬虫工程师,"移动金融,未来金矿,精英团队,助力成长",10k-20k,"移动互联网,金融",150-500人,"['股票期权', '通讯津贴', '交通补助', '午餐补助']",['大数据'],浦东新区,[],https://www.lagou.com/jobs/4864626.html
上海慧宏友科信息科技有限公司,1-3年,本科,高级Python爬虫工程师,地铁近、扁平化管理、环境好,10k-17k,"移动互联网,企业服务",15-50人,"['年底双薪', '带薪年假', '岗位晋升', '扁平管理']","['移动互联网', '大数据']",浦东新区,[],https://www.lagou.com/jobs/5423393.html
上海彩亿信息技术有限公司,3-5年,大专,JAVA爬虫,"亿级平台,极客团队,行业前列,不加班",20k-40k,"移动互联网,金融",500-2000人,"['股票期权', '年底双薪', '五险一金', '带薪年假']","['大数据', '数据挖掘', '数据处理']",徐汇区,"['数据挖掘', '数据处理']",https://www.lagou.com/jobs/4949815.html
上海锐赢信息技术有限公司,3-5年,大专,JAVA爬虫工程师,"靠近地铁站,美女如云,工作稳定",15k-20k,"企业服务,招聘",150-500人,[],"['保险', '抓取']",浦东新区,['抓取'],https://www.lagou.com/jobs/5203011.html
上海朋数信息科技有限公司,不限,大专,java爬虫,五险一金 年终奖 带薪年假,6k-12k,移动互联网,150-500人,"['年底双薪', '绩效奖金', '五险一金', '弹性工作']",['爬虫工程师'],虹口区,['爬虫工程师'],https://www.lagou.com/jobs/5375261.html
上海盈讯科技股份有限公司,1-3年,不限,高级Python爬虫工程师,"晋升通道,年底双薪,绩效奖金,培训机会",12k-24k,金融,150-500人,"['五险一金', '绩效奖金', '岗位晋升', '管理规范']",[],杨浦区,[],https://www.lagou.com/jobs/5212378.html
同程网络科技股份有限公司,3-5年,本科,Javascript工程师（爬虫逆向方向）,"大平台,核心部门",15k-25k,"旅游,电子商务",2000人以上,"['绩效奖金', '股票期权', '年底双薪', '五险一金']","['移动端', 'HTML']",浦东新区,"['移动端', 'HTML']",https://www.lagou.com/jobs/4581488.html
上海佐赞网络科技有限公司,1-3年,本科,PYthon爬虫工程师,福利多多，老板nice，办公环境超棒,10k-12k,"移动互联网,电子商务",50-150人,"['技能培训', '带薪年假', '14天春假', '年度旅游']","['数据分析', '数据挖掘', '数据架构', '数据处理']",闸北区,"['数据分析', '数据挖掘', '数据架构', '数据处理']",https://www.lagou.com/jobs/5413913.html
携程计算机技术（上海）有限公司,3-5年,本科,java工程师（会爬虫）,"技术氛围好,扁平化管理,爬虫,java",15k-25k,"移动互联网,旅游",2000人以上,"['绩效奖金', '股票期权', '五险一金', '交通补助']",['MySQL'],长宁区,['MySQL'],https://www.lagou.com/jobs/4278389.html
集商网络科技（上海）有限公司,1-3年,本科,Python爬虫工程师,发展前景 工作餐 工作氛围 周末双休,10k-18k,"移动互联网,电子商务",50-150人,"['带薪年假', '五险一金', '公司管饭', '绩效奖金']","['移动互联网', '大数据', '爬虫架构', '网络爬虫']",长宁区,"['爬虫架构', '网络爬虫']",https://www.lagou.com/jobs/5318643.html
上海证大喜马拉雅网络科技有限公司,3-5年,本科,Java／Python高级开发职责描述（爬虫方向）,"音频独角兽,发展平台,弹性工作,技术大牛",15k-28k,"移动互联网,文化娱乐",500-2000人,"['年底双薪', '股票期权', '带薪年假', '绩效奖金']",['视频'],浦东新区,[],https://www.lagou.com/jobs/4107109.html
上海豚金网络科技有限公司,1-3年,大专,java爬虫,发展前景好 福利好 氛围和谐,10k-15k,移动互联网,15-50人,"['""""']","['移动互联网', '爬虫工程师']",长宁区,['爬虫工程师'],https://www.lagou.com/jobs/5370523.html
上海数旦信息技术有限公司,不限,本科,Python网络爬虫开发（实习）,学习机会多；免费零食;优秀者毕业可留用,4k-5k,"移动互联网,金融",15-50人,"['定期体检', '年度旅游', '技能培训', '领导好']",['其他'],徐汇区,[],https://www.lagou.com/jobs/1794529.html
